Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	159	Refreshing Spring Water	244	11	0.0244	0.0243	1.25	19.59	0.01	16.87	-0.1717	7.21	0.14	0.0194
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	414	Dalaran Sharp	19	3	0.0019	0.0018	0	0.71	0	0.22	-0.1785	0.93	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	422	Dwarven Mild	77	4	0.0078	0.0078	0.01	0.51	0.01	0.16	-0.1765	2.07	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	647	Destiny	13238749	5	1323.8749	1323.8749	1800	804.97	945.19	685.79	-0.0472	8.71	0.71	0.0815
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	720	Brawler Gloves	5216250	4	521.625	521.625	2324.93	652.41	1275.22	407.04	-0.0504	4.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	723	Goretusk Liver	562	35	0.0562	0.0561	0.07	0.47	0.33	0.43	0.0243	53.57	8.86	0.1654
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	727	Notched Shortsword	130000	1	13	13	5	275.74	0.11	272.33	-0.1461	3.43	1.14	0.3324
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	733	Westfall Stew	3419	13	0.3419	0.3419	0.34	0	0.34	0	0	1.86	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	754	Shortsword of Vengeance	0	0	0	0	100	40.08	92.3	41.41	-0.0114	3.07	0.07	0.0228
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	765	Silverleaf	21799	208	2.1799	2.1799	1.5	3.18	2.07	3.13	-0.0218	1091.93	416	0.381
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	768	Lumberjack Axe	0	0	0	0	12.34	0	12.34	0	0	0.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	769	Chunk of Boar Meat	4000	55	0.4	0.3998	0.47	0.16	0.58	0.15	0.0374	113.07	33.21	0.2937
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	774	Malachite	100000	259	10	5.9678	1.37	4.79	3.25	4.55	-0.0004	392	73.71	0.188
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	776	Vendetta	10020630	2	1002.063	1002.063	2060.48	798.46	2576.97	618.52	0.0724	1.14	0.07	0.0614
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	783	Light Hide	44800	76	4.48	3	2	2.13	2.83	2.15	0.0213	410.64	49.21	0.1198
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	785	Mageroyal	19200	460	1.92	0.99	1.64	0.86	1.01	0.83	-0.0493	1044.57	264.36	0.2531
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	789	Stout Battlehammer	146502	2	14.6502	14.6502	2.75	1.45	2.59	1.5	-0.0002	5.43	0.21	0.0387
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	790	Forester's Axe	100000	1	10	10	3	20.99	0.6	18.33	-0.1391	4.93	0.64	0.1298
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	791	Gnarled Ash Staff	3495000	2	349.5	349.5	350	626.01	817.97	598.91	0.0697	2.93	0.21	0.0717
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	804	Large Blue Sack	200000	1	20	20	20	7.5	24.72	3.42	0.074	8.64	0.14	0.0162
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	805	Small Red Pouch	0	0	0	0	0.54	28.71	4.71	28.72	-0.0608	2.5	0.5	0.2
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	809	Bloodrazor	3997500	4	399.75	399.75	824	477.93	461.88	420.63	-0.0669	5.5	0.21	0.0382
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	810	Hammer of the Northern Wind	904999	4	90.4999	90.4999	244.02	67.29	119.27	22.77	-0.0665	12.71	0.14	0.011
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	811	Axe of the Deep Woods	1222500	1	122.25	122.25	213.35	42.41	177.08	39.76	-0.0207	3.93	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	812	Glowing Brightwood Staff	8900000	5	890	890	1112	375.18	1201.93	232.05	0.0479	6	0.14	0.0233
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	814	Flask of Oil	8772	5	0.8773	0.8773	0.99	2.15	3.91	1.65	0.1428	10.64	0.43	0.0404
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	818	Tigerseye	100000	302	10	6	1.71	2.76	0.32	2.43	-0.1435	380.29	64.79	0.1704
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	821	Riverpaw Leather Vest	3750000	2	375	375	470.96	161.81	270.81	131.88	-0.0459	2	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	828	Small Blue Pouch	10410	1	1.0411	1.0411	0.26	0.67	0.68	0.66	0.0737	2.21	0.36	0.1629
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	832	Silver Defias Belt	0	0	0	0	50	43.73	8.25	19.09	-0.2824	0.5	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	833	Lifestone	1752498	3	175.2499	175.2499	180	55	177.75	49.85	0.0179	3.29	0.14	0.0426
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	856	Blue Leather Bag	0	0	0	0	1	0.98	3.04	0.81	0.1087	0.57	0.14	0.2456
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	857	Large Red Sack	159500	1	15.95	15.95	10.5	5.92	7.12	2.85	-0.0729	12	0.5	0.0417
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	858	Lesser Healing Potion	12780	12	1.278	1.26	0.25	0.62	1.16	0.44	0.1653	112.93	4.86	0.043
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	863	Gloom Reaper	4959998	4	495.9998	495.9998	9.28	21.2	11.55	20.24	-0.0432	7.07	0.5	0.0707
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	864	Knightly Longsword	260000	1	26	26	32	18.05	17.49	17.08	-0.0592	3.57	0.43	0.1204
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	865	Leaden Mace	0	0	0	0	1.53	11.5	0.96	6.68	-0.1985	1	0.29	0.29
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	866	Monk's Staff	4970000	1	497	497	26.25	24.64	55.26	21.92	0.0778	4.57	0.21	0.046
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	867	Gloves of Holy Might	16990000	4	1699	1699	599	310.54	776.89	295.03	0.0111	4.57	0.07	0.0153
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	868	Ardent Custodian	3959999	3	395.9999	395.9999	390.73	139.84	410.4	122.66	0.0311	5.07	0.5	0.0986
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	869	Dazzling Longsword	2046559	7	204.6559	199	1499.38	1233.52	105.28	943.1	-0.1352	12.79	1.29	0.1009
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	870	Fiery War Axe	2189999	8	218.9999	218.9999	658.21	369.97	77.57	132.2	-0.1388	8.07	0.5	0.062
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	871	Flurry Axe	2500000	2	250	250	164.36	185.8	53.06	90.37	-0.1375	7.64	0.21	0.0275
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	873	Staff of Jordan	4989999	3	498.9999	498.9999	2071.81	1105.06	906.34	836.56	-0.0474	8.71	0.43	0.0494
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	890	Twisted Chanter's Staff	1201308	1	120.1308	120.1308	98.9	394.89	23.5	222.8	-0.1812	7.64	0.36	0.0471
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	892	Gnoll Casting Gloves	2979999	1	297.9999	297.9999	519.5	139.77	268.7	71.35	-0.0813	0.86	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	914	Large Ogre Chain Armor	0	0	0	0	129	242.26	356.68	222.91	0.1048	1.86	0.07	0.0376
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	922	Dacian Falx	0	0	0	0	350	0	350	0	0	0.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	929	Healing Potion	995	81	0.0995	0.0994	0.24	0.1	0.21	0.09	0.0058	93.5	8.43	0.0902
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	932	Fel Steed Saddlebags	4400000	1	440	440	221.55	244.24	571.07	138.16	-0.3784	0.36	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	934	Stalvan's Reaper	3992499	3	399.2499	399.2499	399.5	260.6	515.59	252.24	0.0645	2.79	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	935	Night Watch Shortsword	200000	5	20	20	40	145.05	5.57	110.52	-0.1432	5.93	0.21	0.0354
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	936	Midnight Mace	1147499	4	114.7499	114.7499	200	901.7	51.92	675.14	-0.1355	5.07	0.14	0.0276
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	937	Black Duskwood Staff	3071153	4	307.1153	307.1153	314.75	161.09	127.98	132.64	-0.0802	3.86	0.14	0.0363
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	940	Robes of Insight	15000000	4	1500	1500	2498	399.66	1775.6	152.32	-0.0366	8.71	0.21	0.0241
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	942	Freezing Band	798999	2	79.8999	79.8999	99	73.48	59.92	44.27	-0.0812	3.93	0.07	0.0178
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	943	Warden Staff	4990000	3	499	499	284.95	293.95	700.08	220.03	0.1022	5.93	0.29	0.0489
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	944	Elemental Mage Staff	28999999	4	2899.9999	2899.9999	3300	2112.7	5013.92	1511.59	0.117	5.93	0.21	0.0354
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	954	Scroll of Strength	150	2	0.015	0.015	0.01	0	0.01	0	0	0.29	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	955	Scroll of Intellect	4680	2	0.468	0.468	0.48	0.05	0.49	0.01	0.0156	5	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	961	Healing Herb	0	0	0	0	0	0	0	0	0	0.64	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1015	Lean Wolf Flank	1500	4	0.15	0.15	0.17	0.16	0.07	0.15	-0.09	70.86	15.07	0.2127
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1017	Seasoned Wolf Kabob	0	0	0	0	1.76	0	1.76	0	0	4.29	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1076	Defias Renegade Ring	89099900	2	8909.99	8909.99	8909.99	5118.47	12000	3479.97	-0.4506	0.64	0.07	0.1094
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1077	Defias Mage Ring	0	0	0	0	1000	0	1000	0	0	0.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1080	Tough Condor Meat	8750	6	0.875	0.875	0.14	0.22	0.39	0.19	0.1302	14.07	0.14	0.01
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1121	Feet of the Lynx	2990000	6	299	299	350	510.22	699.47	487.33	0.045	6.86	0.36	0.0525
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1168	Skullflame Shield	116950000	3	11695	11695	9999.27	3951.66	7969.01	3941.78	-0.0274	8.36	1.29	0.1543
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1169	Blackskull Shield	6870000	2	687	687	218.69	370.66	853.45	193.87	0.1267	4.86	0.07	0.0144
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1179	Ice Cold Milk	4698	1090	0.4698	0.42	0.51	0.33	0.3	0.31	-0.0312	98.79	18.14	0.1836
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1181	Scroll of Spirit	75	2	0.0075	0.0075	0.85	0.69	0.62	0.52	0.1087	0.71	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1189	Overseer's Ring	12000000	1	1200	1200	1200	630.18	1531.97	205.2	0.1848	0.57	0.07	0.1228
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1203	Aegis of Stormwind	499900	3	49.99	49.99	439.88	237.88	105.92	179.17	-0.0999	8.79	0.29	0.033
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1204	The Green Tower	7989998	2	798.9998	798.9998	799	415.61	464.74	316.23	-0.0683	9.07	0.07	0.0077
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1205	Melon Juice	473	36	0.0473	0.0461	0.06	4.56	0.02	4.25	-0.172	24.86	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1206	Moss Agate	59999	40	5.9999	5.9997	10	9.03	10.3	8.5	-0.031	207.64	59.5	0.2866
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1207	Murphstar	232875	1	23.2875	23.2875	23.7	6.36	22.62	6.23	0.0056	3.43	0.07	0.0204
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1210	Shadowgem	175247	245	17.5247	4.5	5	6.27	4.29	5.94	-0.0533	685.71	60.07	0.0876
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1211	Gnoll War Harness	115000000	3	11500	11500	11999	2778.22	10354.41	2464.29	-0.0245	2.86	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1215	Support Girdle	150000	2	15	15	129.5	52.44	73.6	42.88	-0.0577	0.57	0.14	0.2456
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1251	Linen Bandage	701	136	0.0701	0.0683	0.24	6490.59	365.58	5455.24	-0.1246	41.36	0.79	0.0191
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1263	Brain Hacker	10000000	1	1000	1000	296.83	177.85	122.81	133.45	-0.1002	8.79	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1265	Scorpion Sting	0	0	0	0	49.5	12.01	37.51	10.71	-0.0199	3.86	0.21	0.0544
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1280	Cloaked Hood	49990000	1	4999	4999	9000	3153.46	2887.41	1609.3	-0.0838	0.86	0.07	0.0814
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1288	Large Venom Sac	9121	8	0.9121	0.9	0.14	0.08	0.02	0.04	-0.1254	16.5	1.07	0.0648
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1297	Robes of the Shadowcaster	9800999	2	980.0999	980.0999	998.11	290.69	772.54	164.51	-0.0433	5.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1299	Lesser Belt of the Spire	0	0	0	0	159.25	50.15	170.63	51.77	0.0113	1.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1314	Ghoul Fingers	217803931	1	21780.3931	21780.3931	20161.31	8823.01	27794.8	6580.64	0.4668	0.64	0.07	0.1094
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1315	Lei of Lilies	439999	4	43.9999	43.9999	49	215.8	33.95	140.74	-0.1498	5	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1318	Night Reaver	35000000	1	3500	3500	870.91	960.89	1532.29	972.16	0.0569	1.14	0.07	0.0614
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1351	Fingerbone Bracers	0	0	0	0	1000	4058.37	187.5	2975.9	-0.2152	0.93	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1355	Buckskin Cape	45060000	3	4506	4506	2724.5	2066.34	4158.06	1898.97	0.0849	1.57	0.07	0.0446
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1357	Captain Sanders' Treasure Map	2499996	2	249.9997	249.9997	250	515.73	916.54	409.06	0.1267	3.86	0.07	0.0181
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1391	Riverpaw Mystic Staff	12925532	3	1292.5532	1292.5532	487.5	495.58	692.93	442.75	-0.0071	3.57	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1395	Apprentice's Pants	0	0	0	0	37.29	0	37.29	0	0	0.64	0.07	0.1094
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1396	Acolyte's Pants	0	0	0	0	1	0	1	0	0	0.21	0.07	0.3333
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1405	Foamspittle Staff	0	0	0	0	4	0	4	0	0	0.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1423	Worn Leather Pants	0	0	0	0	559	9.88	541.4	4.48	-0.0027	0.64	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1443	Jeweled Amulet of Cainwyn	10000000	1	1000	1000	449.22	304.95	891.4	146.18	0.136	1.57	0.07	0.0446
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1446	Blackrock Boots	0	0	0	0	255	236.07	592.34	128.89	0.3654	0.57	0.14	0.2456
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1447	Ring of Saviors	10000000	1	1000	1000	200.5	110.02	131.75	85.18	-0.0622	4.43	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1448	Blackrock Gauntlets	59990000	3	5999	5999	6000	0	6000	0	0	2.5	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1462	Ring of the Shadow	0	0	0	0	5000	3508.48	6666.67	1569.04	-0.9999	0.36	0.07	0.1944
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1465	Tigerbane	29600	3	2.96	2.96	4.98	61.93	1.5	54.2	-0.1391	5.93	0.64	0.1079
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1468	Murloc Fin	137	61	0.0137	0.0084	0.03	0.04	0.01	0.03	-0.1225	255.14	31.07	0.1218
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1470	Murloc Skin Bag	0	0	0	0	5	0.72	3.08	0.26	-0.0592	0.57	0.07	0.1228
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1475	Small Venom Sac	75000	2	7.5	7.5	7.4	4.64	4.57	4.04	-0.0113	3.5	0.14	0.04
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1477	Scroll of Agility II	0	0	0	0	0.13	0.06	0.24	0.02	0.0561	11.79	2.29	0.1942
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1481	Grimclaw	14989999	4	1498.9999	1498.9999	1499	333.67	1743.08	322.69	0.0138	6.21	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1482	Shadowfang	229999998	1	22999.9999	22999.9999	29999	13861.84	25021	14074.6	-0.024	3.57	0.36	0.1008
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1483	Face Smasher	0	0	0	0	233.82	96.13	260.7	100.43	0.0084	1.57	0.07	0.0446
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1484	Witching Stave	0	0	0	0	300	0	300	0	0	0.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1486	Tree Bark Jacket	0	0	0	0	200	145	41.25	0	-0.3005	0.14	0.07	0.5
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1488	Avenger's Armor	44116185	1	4411.6185	4411.6185	4411.62	615.59	4731.27	180.62	0.0241	1.71	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1489	Gloomshroud Armor	0	0	0	0	25000	0	25014	0	0	0.07	0.07	1
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1491	Ring of Precision	0	0	0	0	2000	0	2014	0	0.0005	0.07	0.07	1
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1499	Calico Pants	0	0	0	0	2	0	2.67	0	0.4286	0.07	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1512	Crude Battle Axe	0	0	0	0	1	0	1	0	0	0.21	0.14	0.6667
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1529	Jade	37690	81	3.769	3.7689	1.5	7.06	7.77	6.31	0.0919	507.71	64.29	0.1266
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1604	Chromatic Sword	0	0	0	0	199000	0	199000	0	0	0.57	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1607	Soulkeeper	14770000	2	1477	1477	750	356.55	793.1	277.4	0.0542	6.57	0.57	0.0868
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1608	Skullcrusher Mace	56820	4	5.682	5.682	30	270.75	4.26	226.35	-0.2066	4.29	0.07	0.0163
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1613	Spiritchaser Staff	9979998	3	997.9998	997.9998	3000	2081.49	1045.61	1620.81	-0.0558	2.86	0.21	0.0734
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1624	Skullsplitter Helm	499000	2	49.9	49.9	54.9	302.35	254.8	295.03	0.1173	2.07	0.07	0.0338
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1625	Exquisite Flamberge	752146	6	75.2147	75.2147	45	155.73	187.78	144.45	0.1518	4.36	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1639	Grinning Axe	529998	5	52.9998	52.9998	53.2	100.23	7.5	65.3	-0.1701	5.14	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1640	Monstrous War Axe	1004569	1	100.4569	100.4569	15	36.79	52.3	33.17	0.1397	4.14	0.07	0.0169
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1645	Moonberry Juice	5600	114	0.56	0.56	0.65	0.36	0.84	0.26	0.0878	65.64	0.57	0.0087
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1677	Drake-Scale Vest	12500000	1	1250	1250	899.89	247.62	622.84	206.47	-0.0406	2.29	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1678	Black Ogre Kickers	0	0	0	0	133	51.12	73.06	32.7	-0.0674	2	0.07	0.035
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	1685	Troll-Hide Bag	0	0	0	0	23.44	0	23.44	0	0	0.14	0	0
